City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Miandrivazo,MG,76.28,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
4,Kapaa,US,75.52,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Roebourne,AU,81.52,-20.7833,117.1333,Latitude20 Roebourne Village
10,Odweyne,SO,76.24,9.4092,45.064,Eng Hiirey House
13,Arraial Do Cabo,BR,76.96,-22.9661,-42.0278,Pousada Porto Praia
19,Kieta,PG,77.0,-6.2167,155.6333,Uruna Bay Retreat
26,Cabo San Lucas,MX,82.51,22.8909,-109.9124,Hotel Tesoro Los Cabos
30,Kirakira,SB,78.31,-10.4544,161.9205,SanBiz Lodge
38,Meulaboh,ID,76.73,4.1363,96.1285,Kost Pria
41,Saint-Philippe,RE,76.59,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
42,Bengkulu,ID,76.66,-3.8004,102.2655,Grage Hotel Bengkulu
43,Waingapu,ID,79.95,-9.6567,120.2641,Pondok Wisata Elim
45,Salalah,OM,78.89,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
51,Impfondo,CG,75.65,1.6381,18.0667,Auberge La Place de Jules
53,Bentiu,SS,80.04,9.2333,29.8333,Mandela hôtel
57,Samarai,PG,81.05,-10.6167,150.6667,Nuli Sapi
63,Turayf,SA,75.45,31.6725,38.6637,Turaif
64,Santa Rosa,PH,81.1,14.3122,121.1114,Erlyn’s Sta Rosa City Home
75,Kavaratti,IN,82.4,10.5669,72.642,Hotels in Lakshadweep Islands
77,Sao Filipe,CV,84.16,14.8961,-24.4956,Hotel Xaguate
78,Dhidhdhoo,MV,82.06,6.8833,73.1,Dhidhoo beach
80,Kasama,ZM,81.64,-10.2129,31.1808,Kalebalika Cottages
82,Butaritari,KI,81.77,3.0707,172.7902,Isles Sunset Lodge
84,Calceta,EC,78.71,-0.85,-80.1667,"Hostal ""San Placido"""
89,Hithadhoo,MV,81.39,-0.6,73.0833,Scoop Guest House
101,Lambarene,GA,75.61,-0.7001,10.2406,Le Refuge
103,Port Hedland,AU,75.25,-20.3167,118.5667,The Esplanade Hotel
107,Puerto Ayora,EC,76.96,-0.7393,-90.3518,Finch Bay Galapagos Hotel
108,Atuona,PF,78.01,-9.8,-139.0333,Villa Enata
109,Georgetown,MY,79.9,5.4112,100.3354,Cititel Penang
120,Ouro Fino,BR,77.63,-22.2831,-46.3692,Hotel Fazenda Ouro Park
122,Fartura,BR,80.04,-23.3883,-49.51,Rocha Palace Hotel
124,Carinhanha,BR,85.91,-14.3047,-43.765,Hotel União
130,Mahebourg,MU,75.49,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
131,Sola,VU,80.13,-13.8833,167.55,Leumerus Bungalows
140,Ixtapa,MX,87.22,20.7,-105.2,Hotel Plaza Providencia
141,Rocha,UY,75.16,-34.4833,-54.3333,Beleza Pura B&B
146,Padang,ID,78.48,-0.9492,100.3543,Mercure Padang
157,Dicabisagan,PH,76.77,17.0818,122.4157,Nancy Montanes Bernardo
158,Lamu,KE,80.82,-2.2717,40.902,Lamu House
164,Choix,MX,88.75,26.7092,-108.3219,Hotel Montesclaros
167,Rajapur,IN,75.27,25.3833,81.15,Sahu Ji Galla Mills
172,Takoradi,GH,81.37,4.8845,-1.7554,Raybow International Hotel
173,Faanui,PF,78.01,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
175,Inhambane,MZ,75.18,-23.865,35.3833,Oceano
176,Kahului,US,75.85,20.8947,-156.47,Maui Seaside Hotel
177,Kalmunai,LK,80.04,7.4167,81.8167,VS Villa
178,Richards Bay,ZA,76.23,-28.783,32.0377,BON Hotel Waterfront Richards Bay
181,Lorengau,PG,80.62,-2.0226,147.2712,Lorengau Harbourside Hotel
183,Canhotinho,BR,82.49,-8.8822,-36.1911,Pousada da Tia valda
186,Cubarral,CO,82.63,3.7935,-73.8406,Hotel Shaloom
188,Luanda,AO,80.6,-8.8368,13.2343,Hotel Fórum
190,Fare,PF,78.96,-16.7,-151.0167,Maitai Lapita Village Huahine
198,Mount Isa,AU,82.17,-20.7333,139.5,ibis Styles Mt Isa Verona
199,Kavieng,PG,80.44,-2.5744,150.7967,Nusa Island Retreat
200,Abu Kamal,SY,75.43,34.4506,40.9171,محطة التلفاز
202,Quatre Cocos,MU,75.31,-20.2078,57.7625,Sunrise Attitude Hotel
205,Boyolangu,ID,75.79,-8.1181,111.8935,Yos ega cv
207,Hambantota,LK,80.62,6.1241,81.1185,Bungalow 63
208,Grand Gaube,MU,75.6,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
212,Alice Springs,AU,81.95,-23.7,133.8833,Desert Palms Alice Springs
217,Namatanai,PG,77.72,-3.6667,152.4333,Seagulls Inn Namatani
234,Grand Baie,MU,75.67,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
236,Sabang,ID,79.43,5.8933,95.3214,Hotel Citra
239,Ambilobe,MG,77.23,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
241,Ewa Beach,US,75.15,21.3156,-158.0072,Uncle Junior Robert
243,Gamba,GA,77.27,-2.65,10.0,
244,Manzanillo,CU,88.38,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
246,Bambous Virieux,MU,75.45,-20.3428,57.7575,Casa Tia Villa
249,Taoudenni,ML,89.28,22.6783,-3.9836,
252,Upata,VE,83.19,8.0086,-62.3989,Posada Villa Nela
253,Sinnamary,GF,81.63,5.3833,-52.95,ALETHEIA Appartement Sinnamary
257,Mucurapo,TT,79.02,10.6667,-61.5333,Courtyard by Marriott Port of Spain
258,Buchanan,LR,80.56,5.8808,-10.0467,Kamaneahn Hotel Inc
264,Cayenne,GF,89.64,4.9333,-52.3333,Hôtel Le Dronmi
266,San Cristobal,VE,84.38,7.7669,-72.225,Posada Villaven C.A.
269,Road Town,VG,86.2,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
270,Sao Jose Da Coroa Grande,BR,83.55,-8.8978,-35.1478,Crôa Mares Hotel
272,Tucurui,BR,87.51,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
273,Grand-Lahou,CI,79.95,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
276,Galesong,ID,77.02,-5.3166,119.3661,Sapriadi Appy
278,Trat,TH,82.98,12.5,102.5,สวนหนิง-อัศ
279,Agadez,NE,88.27,19.75,10.25,
281,Barrancabermeja,CO,85.89,7.0653,-73.8547,Hotel Millenium Barrancabermeja
283,Mangalam,IN,83.53,9.7667,78.6667,Sathishkumar yadav
290,Palmerston,AU,84.18,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
