City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Miandrivazo,-19.5167,45.4667,76.28,few clouds,56,17,8.48,MG
1,Barrow,71.2906,-156.7887,26.62,overcast clouds,93,90,0.0,US
2,Busselton,-33.65,115.3333,50.09,clear sky,74,7,7.36,AU
3,Vila Franca Do Campo,37.7167,-25.4333,70.21,clear sky,62,8,5.82,PT
4,Kapaa,22.0752,-159.319,75.52,light rain,93,40,9.22,US
5,Vaini,-21.2,-175.2,69.96,scattered clouds,88,40,9.22,TO
6,Roebourne,-20.7833,117.1333,81.52,few clouds,32,20,7.09,AU
7,Asau,46.4333,26.4,60.4,overcast clouds,61,100,5.03,RO
8,Korla,41.7597,86.1469,59.4,overcast clouds,22,95,14.72,CN
9,Ushuaia,-54.8,-68.3,49.66,scattered clouds,50,40,24.16,AR
10,Odweyne,9.4092,45.064,76.24,scattered clouds,49,43,16.28,SO
11,Chokurdakh,70.6333,147.9167,-14.98,overcast clouds,100,96,2.3,RU
12,Punta Arenas,-53.15,-70.9167,48.31,broken clouds,57,75,36.82,CL
13,Arraial Do Cabo,-22.9661,-42.0278,76.96,clear sky,60,0,16.11,BR
14,Mar Del Plata,-38.0023,-57.5575,59.09,moderate rain,90,90,1.99,AR
15,Olafsvik,64.8945,-23.7142,41.45,heavy intensity rain,94,100,22.82,IS
16,Raton,36.9034,-104.4391,66.58,clear sky,29,1,5.75,US
17,Berlevag,70.8578,29.0864,33.8,light shower snow,64,75,19.57,NO
18,Rikitea,-23.1203,-134.9692,73.92,light rain,82,100,24.14,PF
19,Kieta,-6.2167,155.6333,77.0,overcast clouds,86,100,4.9,PG
20,Port Alfred,-33.5906,26.891,65.08,broken clouds,80,61,8.79,ZA
21,Beloha,-25.1667,45.05,67.59,scattered clouds,70,27,13.56,MG
22,Ostrovnoy,68.0531,39.5131,34.95,overcast clouds,63,100,23.31,RU
23,Hilo,19.7297,-155.09,73.27,clear sky,77,1,5.75,US
24,Tiksi,71.6872,128.8694,3.31,overcast clouds,95,100,1.86,RU
25,Te Anau,-45.4167,167.7167,45.09,overcast clouds,94,100,0.87,NZ
26,Cabo San Lucas,22.8909,-109.9124,82.51,clear sky,75,1,3.0,MX
27,Tasiilaq,65.6145,-37.6368,35.76,overcast clouds,81,100,14.5,GL
28,Hobart,-42.8794,147.3294,58.12,moderate rain,91,90,12.66,AU
29,Albany,42.6001,-73.9662,62.28,overcast clouds,68,99,1.99,US
30,Kirakira,-10.4544,161.9205,78.31,broken clouds,78,82,7.58,SB
31,Bahia Blanca,-38.7196,-62.2724,65.82,overcast clouds,36,97,13.65,AR
32,Qaanaaq,77.484,-69.3632,-1.61,clear sky,68,0,8.43,GL
33,Avarua,-21.2078,-159.775,69.85,broken clouds,64,75,4.61,CK
34,Kruisfontein,-34.0033,24.7314,62.89,few clouds,68,23,5.46,ZA
35,Gazojak,41.1875,61.4036,48.18,few clouds,31,16,7.74,TM
36,Butiama,-1.7667,33.9667,68.18,light rain,76,75,6.35,TZ
37,Hay River,60.8156,-115.7999,39.18,broken clouds,60,75,11.5,CA
38,Meulaboh,4.1363,96.1285,76.73,overcast clouds,89,100,5.88,ID
39,Antigonish,45.6169,-61.9986,67.82,overcast clouds,87,100,5.01,CA
40,Nikolskoye,59.7035,30.7861,47.88,light rain,64,100,18.92,RU
41,Saint-Philippe,-21.3585,55.7679,76.59,light rain,83,85,7.36,RE
42,Bengkulu,-3.8004,102.2655,76.66,overcast clouds,88,100,4.09,ID
43,Waingapu,-9.6567,120.2641,79.95,broken clouds,81,72,3.78,ID
44,Marion,39.7684,-86.1555,54.18,mist,92,90,6.91,US
45,Salalah,17.0151,54.0924,78.89,clear sky,73,0,3.44,OM
46,Klaksvik,62.2266,-6.589,38.32,broken clouds,54,81,5.44,FO
47,Nikolayevka,53.1257,47.2041,53.73,overcast clouds,71,100,17.07,RU
48,Victoria,22.2855,114.1577,68.32,overcast clouds,76,100,1.01,HK
49,Okhotsk,59.3833,143.3,19.6,overcast clouds,92,100,12.21,RU
50,Calama,-22.4667,-68.9333,72.09,clear sky,9,0,21.85,CL
51,Impfondo,1.6381,18.0667,75.65,scattered clouds,81,45,0.56,CG
52,Desbiens,48.4178,-71.9495,46.15,overcast clouds,84,100,14.67,CA
53,Bentiu,9.2333,29.8333,80.04,scattered clouds,62,50,5.03,SS
54,Luderitz,-26.6481,15.1594,60.44,clear sky,76,0,11.14,NA
55,Puerto Baquerizo Moreno,-0.9,-89.6,70.79,light rain,88,75,13.8,EC
56,Stornoway,58.2093,-6.3865,47.93,broken clouds,76,75,8.05,GB
57,Samarai,-10.6167,150.6667,81.05,overcast clouds,71,100,12.53,PG
58,Bluff,-46.6,168.3333,48.42,overcast clouds,83,95,2.37,NZ
59,Mataura,-46.1927,168.8643,43.97,overcast clouds,94,99,1.95,NZ
60,Faya,18.3851,42.4509,69.91,clear sky,25,4,13.2,SA
61,Ust-Nera,64.5667,143.2,5.67,overcast clouds,98,98,3.4,RU
62,Saint George,37.1041,-113.5841,71.55,clear sky,45,1,0.0,US
63,Turayf,31.6725,38.6637,75.45,clear sky,33,0,11.5,SA
64,Santa Rosa,14.3122,121.1114,81.1,broken clouds,78,73,7.29,PH
65,Iqaluit,63.7506,-68.5145,26.33,broken clouds,79,75,18.99,CA
66,Alofi,-19.0595,-169.9187,69.69,overcast clouds,83,100,11.5,NU
