City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tiksi,71.6872,128.8694,17.62,96,100,7.36,RU,2021-10-19 16:39:00
1,Cherskiy,68.75,161.3,-13.85,100,98,3.6,RU,2021-10-19 16:39:00
2,Bredasdorp,-34.5322,20.0403,64.27,82,0,14.99,ZA,2021-10-19 16:39:01
3,Ushuaia,-54.8,-68.3,55.06,50,75,20.71,AR,2021-10-19 16:37:42
4,Rikitea,-23.1203,-134.9692,74.71,72,5,21.47,PF,2021-10-19 16:39:02
5,Atuona,-9.8,-139.0333,77.67,76,31,21.23,PF,2021-10-19 16:39:03
6,Mitsamiouli,-11.3847,43.2844,80.89,65,40,9.22,KM,2021-10-19 16:39:04
7,Katsuura,35.1333,140.3,57.22,82,100,10.83,JP,2021-10-19 16:39:04
8,Hobart,-42.8794,147.3294,41.05,87,53,1.99,AU,2021-10-19 16:35:19
9,Nikolskoye,59.7035,30.7861,35.87,79,40,4.18,RU,2021-10-19 16:39:05
10,Port Elizabeth,-33.918,25.5701,65.1,77,20,11.5,ZA,2021-10-19 16:39:05
11,Pyinmana,19.7333,96.2167,73.58,95,54,3.98,MM,2021-10-19 16:39:06
12,Portland,45.5234,-122.6762,54.21,86,75,1.01,US,2021-10-19 16:36:43
13,Faanui,-16.4833,-151.75,79.48,78,99,13.62,PF,2021-10-19 16:35:21
14,Dongsheng,39.8161,109.9776,39.65,42,88,4.16,CN,2021-10-19 16:39:07
15,Chara,56.9064,118.2631,24.26,66,60,1.95,RU,2021-10-19 16:39:07
16,Lagoa,39.05,-27.9833,68.27,71,2,14.29,PT,2021-10-19 16:35:59
17,Georgetown,5.4112,100.3354,78.75,94,40,5.01,MY,2021-10-19 16:38:07
18,Hovd,48.0056,91.6419,34.68,51,0,0.63,MN,2021-10-19 16:36:38
19,Mataura,-46.1927,168.8643,40.41,67,95,2.82,NZ,2021-10-19 16:39:08
20,Sayyan,15.1718,44.3244,62.85,20,33,9.82,YE,2021-10-19 16:39:09
21,Busselton,-33.65,115.3333,55.04,73,100,25.88,AU,2021-10-19 16:39:09
22,Atar,20.5169,-13.0499,100.9,6,17,11.45,MR,2021-10-19 16:39:10
23,Beringovskiy,63.05,179.3167,30.15,88,100,10.76,RU,2021-10-19 16:35:28
24,Kapaa,22.0752,-159.319,73.72,89,75,16.11,US,2021-10-19 16:39:02
25,Komsomolskiy,40.4272,71.7189,57.92,51,69,6.91,UZ,2021-10-19 16:39:11
26,Klaksvik,62.2266,-6.589,50.92,97,95,6.44,FO,2021-10-19 16:39:11
27,Cuamba,-14.8031,36.5372,81.99,35,69,11.05,MZ,2021-10-19 16:39:12
28,Victoria,22.2855,114.1577,80.33,79,70,1.99,HK,2021-10-19 16:38:17
29,Tete,-16.1564,33.5867,89.69,37,40,11.5,MZ,2021-10-19 16:39:12
30,Kaitangata,-46.2817,169.8464,42.93,72,21,8.23,NZ,2021-10-19 16:39:13
31,Camapua,-19.5314,-54.0439,84.09,56,88,6.29,BR,2021-10-19 16:39:13
32,Raudeberg,61.9875,5.1352,53.38,89,100,10.0,NO,2021-10-19 16:39:14
33,Haines Junction,60.7522,-137.5108,15.75,92,92,1.14,CA,2021-10-19 16:35:14
34,Qaanaaq,77.484,-69.3632,22.39,73,96,10.54,GL,2021-10-19 16:39:14
35,Baley,51.6,116.6333,19.65,90,17,3.38,RU,2021-10-19 16:39:15
36,Jamestown,42.097,-79.2353,65.01,60,40,5.99,US,2021-10-19 16:35:40
37,New Norfolk,-42.7826,147.0587,40.71,67,35,1.12,AU,2021-10-19 16:39:15
38,Punta Arenas,-53.15,-70.9167,62.71,48,75,19.57,CL,2021-10-19 16:39:16
39,Hithadhoo,-0.6,73.0833,82.71,75,70,11.92,MV,2021-10-19 16:39:06
40,Albany,42.6001,-73.9662,61.81,52,6,1.01,US,2021-10-19 16:37:25
41,Chuy,-33.6971,-53.4616,66.6,55,10,10.27,UY,2021-10-19 16:39:17
42,Touros,-5.1989,-35.4608,90.5,59,73,15.17,BR,2021-10-19 16:39:17
43,Sharan,54.8167,54.0,39.61,65,100,4.83,RU,2021-10-19 16:39:17
44,San Juan,-31.5375,-68.5364,83.21,13,0,7.18,AR,2021-10-19 16:39:18
45,Clyde River,70.4692,-68.5914,34.03,86,40,3.44,CA,2021-10-19 16:36:37
46,Santa Barbara,34.7333,-120.0343,58.78,26,0,3.65,US,2021-10-19 16:35:56
47,Vaini,-21.2,-175.2,73.56,78,40,10.36,TO,2021-10-19 16:39:19
48,Castro,-24.7911,-50.0119,56.16,95,100,7.43,BR,2021-10-19 16:39:20
49,Imbituba,-28.24,-48.6703,69.69,64,17,10.42,BR,2021-10-19 16:39:20
50,Baramula,34.2,74.35,56.32,59,0,3.44,IN,2021-10-19 16:39:20
51,Bahia Honda,22.9036,-83.1592,83.05,67,29,14.36,CU,2021-10-19 16:39:21
52,Doka,13.5167,35.7667,83.88,33,42,2.1,SD,2021-10-19 16:39:21
53,Severo-Kurilsk,50.6789,156.125,40.03,84,81,14.74,RU,2021-10-19 16:39:22
54,Port Alfred,-33.5906,26.891,62.02,73,0,14.67,ZA,2021-10-19 16:39:22
55,Teguise,29.0605,-13.564,71.82,88,0,16.11,ES,2021-10-19 16:39:23
56,Saint-Philippe,-21.3585,55.7679,74.79,78,72,9.08,RE,2021-10-19 16:39:24
57,Arraial Do Cabo,-22.9661,-42.0278,69.76,88,75,4.61,BR,2021-10-19 16:36:28
58,Tasiilaq,65.6145,-37.6368,33.96,49,5,1.19,GL,2021-10-19 16:39:24
59,Chernyshevskiy,63.0128,112.4714,31.05,97,100,11.25,RU,2021-10-19 16:39:25
60,Padang,-0.9492,100.3543,77.05,88,100,4.36,ID,2021-10-19 16:39:26
61,Bulawayo,-20.15,28.5833,50.45,93,100,14.09,ZW,2021-10-19 16:39:26
62,Barrow,71.2906,-156.7887,21.22,86,90,6.91,US,2021-10-19 16:39:27
63,Huarmey,-10.0681,-78.1522,69.33,73,90,9.4,PE,2021-10-19 16:39:27
64,Ancud,-41.8697,-73.8203,67.53,74,5,6.29,CL,2021-10-19 16:39:28
65,Alyangula,-13.8483,136.4192,80.47,89,7,4.61,AU,2021-10-19 16:36:18
66,Gore,-46.1028,168.9436,39.72,68,95,3.51,NZ,2021-10-19 16:39:29
67,Mendi,-6.1761,143.6513,54.14,98,70,3.0,PG,2021-10-19 16:39:29
68,Luanda,-8.8368,13.2343,78.8,73,0,10.36,AO,2021-10-19 16:36:47
69,Codrington,-38.2667,141.9667,45.82,96,40,11.59,AU,2021-10-19 16:35:30
70,Furukawa,38.5717,140.9556,52.97,90,89,2.53,JP,2021-10-19 16:39:30
71,Fairbanks,64.8378,-147.7164,29.25,76,90,6.91,US,2021-10-19 16:36:16
72,Puerto Ayora,-0.7393,-90.3518,78.76,79,68,10.0,EC,2021-10-19 16:39:31
73,Dunedin,-45.8742,170.5036,44.8,57,7,7.0,NZ,2021-10-19 16:39:09
74,Mehamn,71.0357,27.8492,31.91,86,40,5.75,NO,2021-10-19 16:39:32
75,Tukan,53.8409,57.4552,42.13,76,100,2.86,RU,2021-10-19 16:39:32
76,Narsaq,60.9167,-46.05,50.22,45,8,0.85,GL,2021-10-19 16:39:33
77,Bluff,-46.6,168.3333,47.37,60,78,12.1,NZ,2021-10-19 16:39:33
78,Ampanihy,-24.7,44.75,68.0,76,100,13.29,MG,2021-10-19 16:39:34
79,Bonham,33.5773,-96.1783,73.6,51,1,14.97,US,2021-10-19 16:39:34
80,Esperance,-33.8667,121.9,62.44,55,60,27.34,AU,2021-10-19 16:39:35
81,Maputo,-25.9653,32.5892,67.68,63,75,1.01,MZ,2021-10-19 16:39:35
82,Avera,33.194,-82.5271,74.91,35,0,2.68,US,2021-10-19 16:39:36
83,Karratha,-20.7377,116.8463,71.02,49,90,13.13,AU,2021-10-19 16:39:37
84,Tuktoyaktuk,69.4541,-133.0374,19.4,100,90,8.05,CA,2021-10-19 16:39:37
85,Salalah,17.0151,54.0924,78.89,83,20,8.05,OM,2021-10-19 16:36:13
86,Bengkulu,-3.8004,102.2655,76.66,84,100,4.85,ID,2021-10-19 16:39:38
87,Hermanus,-34.4187,19.2345,64.8,69,0,14.65,ZA,2021-10-19 16:39:39
88,Govindgarh,27.5,76.9833,78.71,50,0,2.01,IN,2021-10-19 16:39:39
89,Yaroslavl,57.6299,39.8737,35.4,87,75,6.71,RU,2021-10-19 16:39:40
90,Talnakh,69.4865,88.3972,29.62,97,96,5.84,RU,2021-10-19 16:35:32
91,Umm Lajj,25.0213,37.2685,80.92,66,0,13.67,SA,2021-10-19 16:39:40
92,Canberra,-35.2835,149.1281,51.15,81,75,5.01,AU,2021-10-19 16:36:26
93,Torbay,47.6666,-52.7314,59.76,72,20,13.8,CA,2021-10-19 16:34:55
94,Cape Town,-33.9258,18.4232,68.41,59,0,1.99,ZA,2021-10-19 16:38:16
95,East London,-33.0153,27.9116,65.34,63,20,13.8,ZA,2021-10-19 16:39:41
96,Khatanga,71.9667,102.5,29.37,93,100,14.61,RU,2021-10-19 16:39:42
97,Butaritari,3.0707,172.7902,82.2,67,34,8.52,KI,2021-10-19 16:39:42
98,Zelenogradsk,54.9589,20.4767,46.45,93,0,8.95,RU,2021-10-19 16:39:43
99,Ulladulla,-35.35,150.4667,56.3,88,75,10.78,AU,2021-10-19 16:39:43
100,Sitka,57.0531,-135.33,53.49,43,90,18.41,US,2021-10-19 16:39:44
101,Erzin,36.9559,36.2,70.32,61,4,3.83,TR,2021-10-19 16:39:44
102,Chaozhou,23.6651,116.6379,71.46,89,24,1.83,CN,2021-10-19 16:39:45
103,Namibe,-15.1961,12.1522,67.12,85,25,12.26,AO,2021-10-19 16:39:45
104,Pevek,69.7008,170.3133,14.16,92,100,15.95,RU,2021-10-19 16:35:41
105,Acapulco,16.8634,-99.8901,85.82,74,90,0.0,MX,2021-10-19 16:38:45
106,Kem,64.9555,34.5793,30.54,80,80,9.17,RU,2021-10-19 16:39:46
107,Leningradskiy,69.3833,178.4167,25.07,89,100,10.76,RU,2021-10-19 16:35:27
108,Haapiti,-17.5667,-149.8667,78.53,78,64,15.95,PF,2021-10-19 16:39:47
109,Longyearbyen,78.2186,15.6401,15.64,73,20,11.5,SJ,2021-10-19 16:39:47
110,Praia Da Vitoria,38.7333,-27.0667,75.45,78,20,8.81,PT,2021-10-19 16:39:48
111,Iqaluit,63.7506,-68.5145,37.13,86,90,20.0,CA,2021-10-19 16:36:10
112,Whitehorse,60.7161,-135.0538,32.77,55,75,15.01,CA,2021-10-19 16:39:48
113,La Primavera,5.4906,-70.4092,90.75,53,76,6.38,CO,2021-10-19 16:39:49
114,Asau,46.4333,26.4,50.92,73,83,1.41,RO,2021-10-19 16:39:49
115,Kousseri,12.0769,15.0306,98.56,25,88,3.44,CM,2021-10-19 16:39:50
116,Bintulu,3.1667,113.0333,73.81,100,40,3.0,MY,2021-10-19 16:38:16
117,Lebu,-37.6167,-73.65,60.94,70,0,10.98,CL,2021-10-19 16:39:51
118,Yamada,39.4667,141.95,53.78,89,76,4.61,JP,2021-10-19 16:39:51
119,Dutlwe,-23.9833,23.9,71.56,42,29,19.01,BW,2021-10-19 16:39:52
120,Severo-Yeniseyskiy,60.3725,93.0408,35.26,96,100,7.74,RU,2021-10-19 16:39:52
121,Wagar,16.1525,36.2032,92.93,21,12,12.66,SD,2021-10-19 16:39:53
122,Fayaoue,-20.65,166.5333,76.33,80,100,4.03,NC,2021-10-19 16:39:53
123,Avarua,-21.2078,-159.775,62.65,94,20,1.14,CK,2021-10-19 16:34:59
124,Sajanan,37.0573,9.2426,68.92,70,13,7.29,TN,2021-10-19 16:39:54
125,Talakan,50.3167,130.3667,22.53,90,63,2.08,RU,2021-10-19 16:39:55
126,Mahebourg,-20.4081,57.7,74.25,78,75,9.22,MU,2021-10-19 16:39:55
127,Turukhansk,65.8167,87.9833,34.74,96,100,7.43,RU,2021-10-19 16:39:56
128,Lavrentiya,65.5833,-171.0,28.13,94,100,23.31,RU,2021-10-19 16:39:56
129,Cumanayagua,22.1494,-80.2022,85.75,68,74,10.2,CU,2021-10-19 16:39:57
130,Medicine Hat,50.0501,-110.6683,37.83,75,75,9.22,CA,2021-10-19 16:35:24
131,Iraquara,-12.2486,-41.6194,92.25,28,77,5.61,BR,2021-10-19 16:39:57
132,Puerto Baquerizo Moreno,-0.9,-89.6,72.59,83,40,13.8,EC,2021-10-19 16:39:58
133,Bethel,41.3712,-73.414,62.35,60,1,1.01,US,2021-10-19 16:39:58
134,Yellowknife,62.456,-114.3525,42.42,96,40,6.91,CA,2021-10-19 16:39:59
135,Sinnamary,5.3833,-52.95,84.0,70,100,7.94,GF,2021-10-19 16:37:51
136,Salinopolis,-0.6136,-47.3561,84.74,70,23,11.48,BR,2021-10-19 16:40:00
137,Kayes,14.0,-11.0,97.34,22,76,4.03,ML,2021-10-19 16:40:00
138,Grindavik,63.8424,-22.4338,43.27,65,0,31.07,IS,2021-10-19 16:36:35
139,Vendryne,49.6666,18.7131,53.49,79,97,6.53,CZ,2021-10-19 16:40:01
140,Mana,5.6592,-53.7767,85.06,64,88,8.43,GF,2021-10-19 16:40:02
141,Souillac,-20.5167,57.5167,74.35,78,75,9.22,MU,2021-10-19 16:39:53
142,Betare Oya,5.6,14.0833,71.69,91,100,2.62,CM,2021-10-19 16:40:03
143,Nizhniy Kuranakh,58.8353,125.4869,28.63,96,100,6.71,RU,2021-10-19 16:40:04
144,Pokhara,28.2333,83.9833,67.82,96,100,1.68,NP,2021-10-19 16:40:05
145,Porto Nacional,-10.7081,-48.4172,84.2,36,100,5.28,BR,2021-10-19 16:40:06
146,Carnarvon,-24.8667,113.6333,66.27,68,40,13.8,AU,2021-10-19 16:40:07
147,Jalu,29.0331,21.5482,77.79,33,98,12.01,LY,2021-10-19 16:40:09
148,Cabo San Lucas,22.8909,-109.9124,85.6,65,1,11.5,MX,2021-10-19 16:40:09
149,Balabac,7.9868,117.0645,82.45,78,100,7.36,PH,2021-10-19 16:40:10
150,Fallon,39.4735,-118.7774,46.45,65,40,0.0,US,2021-10-19 16:40:11
